from,to,weight,year,az,code
Ziffer2,Express,1,2001,(B 206/01),(Express/2001/02)
Ziffer8,Bild,1,2001,(B 205/01),(Bild/2001/01)
Ziffer13,Bild,1,2001,(B 205/01),(Bild/2001/01)
Ziffer7,FM,1,2001,(B 199/01),(FM/2001/01)
Ziffer7,SAZ,1,2001,(B 197/01),(SAZ/2001/01)
Ziffer9,Taz,1,2001,(B 191/01),(Taz/2001/01)
Ziffer2,Bild,1,2001,(B 187/01),(Bild/2001/02)
Ziffer8,Bild,1,2001,(B 187/01),(Bild/2001/02)
Ziffer1,Bild,1,2001,(B 186/01),(Bild/2001/03)
Ziffer9,Bild,1,2001,(B 186/01),(Bild/2001/03)
Ziffer12,Bild,1,2001,(B 186/01),(Bild/2001/03)
Ziffer1,BildO,1,2001,(B 186/01),(BildO/2001/01)
Ziffer9,BildO,1,2001,(B 186/01),(BildO/2001/01)
Ziffer12,BildO,1,2001,(B 186/01),(BildO/2001/01)
Ziffer2,DNB,1,2001,(B 182/01),(DNB/2001/01)
Ziffer8,DNB,1,2001,(B 182/01),(DNB/2001/01)
Ziffer7,J,1,2001,(B 178/01),(J/2001/01)
Ziffer1,OFN,1,2001,"(B 174,175,176/01)",(OFN/2001/01)
Ziffer6,OFN,1,2001,"(B 174,175,176/01)",(OFN/2001/01)
Ziffer13,Bild,1,2001,(B 166/01),(Bild/2001/04)
Ziffer13,Bild,1,2001,(B 162/01),(Bild/2001/05)
Ziffer8,Bild,1,2001,(B 162/01),(Bild/2001/05)
Ziffer2,Stern,1,2001,"(B 154,155/01)",(Stern/2001/01)
Ziffer8,Stern,1,2001,"(B 154,155/01)",(Stern/2001/01)
Ziffer2,Bild,1,2001,(B 148/01),(Bild/2001/06)
Ziffer2,RZ,1,2001,"(B 144,163,164/01)",(RZ/2001/01)
Ziffer9,RZ,1,2001,"(B 144,163,164/01)",(RZ/2001/01)
Ziffer2,Bild,1,2001,(B 139/01),(Bild/2001/07)
Ziffer8,Bild,1,2001,(B 139/01),(Bild/2001/07)
Ziffer9,JF,1,2001,(B 130/01),(JF/2001/01)
Ziffer2,MAX,1,2001,(B 47/01),(MAX/2001/01)
Ziffer4,MAX,1,2001,(B 47/01),(MAX/2001/01)
Ziffer8,DM,2,2001,(B 121/01),(DM/2001/01)
Ziffer8,HM,2,2001,"(B 108,109,110/01)",(HM/2001/01)
Ziffer11,HM,2,2001,"(B 108,109,110/01)",(HM/2001/01)
Ziffer8,Bild,2,2001,"(B 105,106,107/01)",(Bild/2001/08)
Ziffer11,Bild,2,2001,"(B 105,106,107/01)",(Bild/2001/08)
Ziffer8,BildO,2,2001,"(B 105,106,107/01)",(BildO/2001/01)
Ziffer11,BildO,2,2001,"(B 105,106,107/01)",(BildO/2001/01)
Ziffer8,BZ,1,2001,(B 98/01),(BZ/2001/01)
Ziffer9,RUN,1,2001,(B 97/01),(RUN/2001/01)
Ziffer2,Huerriyet,1,2001,(B 93/01),(Huerriyet/2001/01)
Ziffer2,Coupe,1,2001,(B 70/01),(Coupe/2001/01)
Ziffer1,Coupe,1,2001,(B 69/01),(Coupe/2001/02)
Ziffer2,Coupe,1,2001,(B 69/01),(Coupe/2001/02)
Ziffer1,Taz,1,2001,(B 53/01),(Taz/2001/02)
Ziffer2,Coupe,1,2001,(B 52/01),(Coupe/2001/03)
Ziffer2,SA,1,2001,(B 43/01),(SA/2001/01)
Ziffer8,Bild,1,2001,(B 34/01),(Bild/2001/09)
Ziffer13,Bild,1,2001,(B 34/01),(Bild/2001/09)
Ziffer9,NW,1,2001,(B 29/01),(NW/2001/01)
Ziffer12,NW,1,2001,(B 29/01),(NW/2001/01)
Ziffer9,AZ,1,2001,(B 21/01),(AZ/2001/01)
Ziffer2,Bravo,1,2001,(B 20/01),(Bravo/2001/01)
Ziffer8,Bravo,1,2001,(B 20/01),(Bravo/2001/01)
Ziffer7,BM,1,2001,(B 17/01),(BM/2001/01)
Ziffer2,Bild,1,2001,(B 10/01),(Bild/2001/10)
Ziffer6,Bild,1,2001,(B 10/01),(Bild/2001/10)
Ziffer2,Bild,1,2001,(B 8/01),(Bild/2001/11)
Ziffer2,HM,1,2001,(B 5/01),(HM/2001/02)
Ziffer13,SZ,1,2001,(B 226/00),(SZ/2001/01)
Ziffer1,Coupe,1,2001,(B 188/00),(Coupe/2001/03)
Ziffer2,Coupe,1,2001,(B 188/00),(Coupe/2001/03)
Ziffer1,Coupe,1,2001,(B 187/00),(Coupe/2001/04)
Ziffer2,Coupe,1,2001,(B 187/00),(Coupe/2001/04)
Ziffer8,Express,2,2001,(B 202/00),(Express/2001/03)
Ziffer13,Express,2,2001,(B 202/00),(Express/2001/03)
Ziffer13,Express,2,2001,(B 195/00),(Express/2001/04)
Ziffer8,Stern,1,2001,(B 222/00),(Stern/2001/02)
Ziffer2,Taz,1,2001,"(B 218,219/00)",(Taz/2001/03)
Ziffer2,BM,1,2001,(B 217/00),(BM/2001/02)
Ziffer2,Bild,1,2001,"(B 211,212,213,214,215/00)",(Bild/2001/12)
Ziffer7,VEN,1,2001,(B 210/00),(VEN/2001/01)
Ziffer2,VM,1,2002,(B2-5/02),(VM/2002/01)
Ziffer3,VM,1,2002,(B2-5/02),(VM/2002/01)
Ziffer8,VM,1,2002,(B2-5/02),(VM/2002/01)
Ziffer8,Bild,1,2002,"(B1-249,250/02)",(Bild/2002/01)
Ziffer8,WZ,2,2002,(B1-240/02),(WZ/2002/01)
Ziffer2,SZ,1,2002,(B1-233/02),(SZ/2002/01)
Ziffer8,Bild,1,2002,(B1-230/02),(Bild/2002/02)
Ziffer2,TZ,1,2002,(B1-218/02),(TZ/2002/01)
Ziffer8,TZ,1,2002,(B1-218/02),(TZ/2002/01)
Ziffer7,TV,1,2002,(B1-212/02),(TV/2002/01)
Ziffer8,BZ,1,2002,"(B1-209,210/02)",(BZ/2002/01)
Ziffer6,HAZ,2,2002,(B1-203/02),(HAZ/2002/01)
Ziffer8,HAZ,2,2002,(B1-203/02),(HAZ/2002/01)
Ziffer1,ES,1,2002,(B1-178/02),(ES/2002/01)
Ziffer2,WFB,1,2002,(B1-152/02),(WFB/2002/02)
Ziffer13,Bild,1,2002,(B1-150/02),(Bild/2002/03)
Ziffer8,Bild,2,2002,(B1-141/02),(Bild/2002/04)
Ziffer8,BK,2,2002,(B1-140/02),(BK/2002/01)
Ziffer1,Bild,1,2002,(B1-137/02),(Bild/2002/05)
Ziffer2,STU,1,2002,(B1-133/02),(STU/2002/01)
Ziffer1,Taz,1,2002,(B1-131/02),(Taz/2002/01)
Ziffer8,HLZ,2,2002,(B1-129/02),(HLZ/2002/01)
Ziffer4,Bild,1,2002,(B1-125/02),(Bild/2002/06)
Ziffer8,Bild,1,2002,(B1-125/02),(Bild/2002/06)
Ziffer2,TGZ,1,2002,(B1-116/02),(TGZ/2002/01)
Ziffer2,NN,1,2002,(B1-109/02),(NN/2002/01)
Ziffer2,NP,1,2002,(B1-97/02),(NP/2002/01)
Ziffer7,EC,1,2002,(B1-95/02),(EC/2002/01)
Ziffer2,Bild,1,2002,(B1-65/02),(Bild/2002/07)
Ziffer12,BB,1,2002,(B1-61/02),(BB/2002/01)
Ziffer2,WET,1,2002,(B1-59/02),(WET/2002/01)
Ziffer9,WET,1,2002,(B1-59/02),(WET/2002/01)
Ziffer7,Welt,1,2002,(B1-40/02),(Welt/2002/01)
Ziffer2,Bild,2,2002,(B1-35/02),(Bild/2002/08)
Ziffer8,Bild,2,2002,(B1-35/02),(Bild/2002/08)
Ziffer1,FHM,1,2002,(B1-25/02),(FHM/2002/01)
Ziffer11,FHM,1,2002,(B1-25/02),(FHM/2002/01)
Ziffer7,SB,1,2002,(B1-22/02),(SB/2002/01)
Ziffer7,LDZ,1,2002,(B1-19/02),(LDZ/2002/01)
Ziffer8,Bild,1,2002,(B1-14/02),(Bild/2002/09)
Ziffer11,Bild,1,2002,(B1-14/02),(Bild/2002/09)
Ziffer8,Bild,1,2002,"(B1-9,10,11/02)",(Bild/2002/10)
Ziffer11,Bild,1,2002,"(B1-9,10,11/02)",(Bild/2002/10)
Ziffer7,RAT,1,2002,(B1-8/02),(RAT/2002/01)
Ziffer2,Stern,1,2002,"(B1-1,2,3,4/02)",(Stern/2002/01)
Ziffer9,Stern,1,2002,"(B1-1,2,3,4/02)",(Stern/2002/01)
Ziffer8,OFK,2,2002,(B1-287/01/Z),(OFK/2002/01)
Ziffer12,OP,1,2002,(B 266/01),(OP/2002/01)
Ziffer7,MA,1,2002,(B 244/01),(MA/2002/01)
Ziffer4,Bild,1,2002,(B 232/01),(Bild/2002/11)
Ziffer8,Bild,1,2002,(B 232/01),(Bild/2002/11)
Ziffer8,BK,1,2002,(B 222/01),(BK/2002/02)
Ziffer2,DNB,1,2002,(B 217/01),(DNB/2002/01)
Ziffer2,TZM,1,2002,(B 213/01),(TZM/2002/01)
Ziffer13,TZM,1,2002,(B 213/01),(TZM/2002/01)
Ziffer7,BWZ,1,2003,(B1-181/03),(BWZ/2003/01)
Ziffer8,LZ,1,2003,(B1-177/03),(LZ/2003/01)
Ziffer1,BK,1,2003,"(B1-161,162,163/03)",(BK/2003/01)
Ziffer11,BK,1,2003,"(B1-161,162,163/03)",(BK/2003/01)
Ziffer8,BildN,1,2003,(B1-158/03),(BildN/2003/01)
Ziffer2,Bild,1,2003,(B1-139/03),(Bild/2003/01)
Ziffer9,Bild,1,2003,(B1-139/03),(Bild/2003/01)
Ziffer8,HZ,2,2003,(B1-120/03),(HZ/2003/01)
Ziffer8,ABZ,1,2003,"(B1-118,151/03)",(ABZ/2003/01)
Ziffer8,BildM,1,2003,(B1-117/03),(BildM/2003/01)
Ziffer2,SAEZ,1,2003,(B1-115/03),(SAEZ/2003/01)
Ziffer12,OP,1,2003,(B1-114/03),(OP/2003/01)
Ziffer8,CMP,1,2003,(B1-104/03),(CMP/2003/01)
Ziffer8,Bild,2,2003,(B1-95/03),(Bild/2003/02)
Ziffer13,Bild,1,2003,(B1-88/03),(Bild/2003/03)
Ziffer8,Bild,2,2003,(B1-70/03),(Bild/2003/04)
Ziffer8,Bild,1,2003,(B1-60/03),(Bild/2003/05)
Ziffer8,DM,1,2003,(B1-57/03),(DM/2003/01)
Ziffer8,Bild,2,2003,"(B-26,27/03)",(Bild/2003/06)
Ziffer2,Express,1,2003,(B1-21/03),(Express/2003/01)
Ziffer8,Express,1,2003,(B1-21/03),(Express/2003/01)
Ziffer9,Express,1,2003,(B1-21/03),(Express/2003/01)
Ziffer12,OP,1,2003,(B1-306/02),(OP/2003/02)
Ziffer8,MBZ,2,2003,(B1-274/02),(MBZ/2003/01)
Ziffer8,ABZ,1,2003,(B1-271/02),(ABZ/2003/02)
Ziffer8,NR,1,2003,(B1-270/02),(NR/2003/01)
Ziffer2,HS,1,2003,(B1-268/02),(HS/2003/01)
Ziffer2,GLAM,1,2003,(B1-266/02),(GLAM/2003/01)
Ziffer2,Bild,2,2003,(B1-258/02),(Bild/2003/07)
Ziffer8,Bild,2,2003,(B1-258/02),(Bild/2003/07)
Ziffer13,HM,1,2003,(B1-255/02),(HM/2003/01)
Ziffer7,MG,1,2004,(BK2-169/04),(MG/2004/01)
Ziffer8,DM,1,2004,(BK2-158/04),(DM/2004/01)
Ziffer8,BDZ,1,2004,(BK2-155/04),(BDZ/2004/01)
Ziffer7,TGS,1,2004,(BK2-154/04),(TGS/2004/01)
Ziffer14,BZ,1,2004,(BK2-132/04),(BZ/2004/01)
Ziffer7,TGS,1,2004,(BK2-126/04),(TGS/2004/02)
Ziffer7,BERZ,1,2004,(BK2-124/04),(BERZ/2004/01)
Ziffer7,ET,1,2004,(BK1-118/04),(ET/2004/01)
Ziffer1,Bild,1,2004,(BK2-117/04),(Bild/2004/01)
Ziffer2,Bild,1,2004,(BK2-117/04),(Bild/2004/01)
Ziffer12,Bild,1,2004,(BK2-117/04),(Bild/2004/01)
Ziffer8,Bild,2,2004,(BK2-114/04),(Bild/2004/02)
Ziffer7,UNI,1,2004,(BK1-110/04),(UNI/2004/01)
Ziffer8,BZ,1,2004,(BK1-108/04),(BZ/2004/02)
Ziffer13,BZ,1,2004,(BK1-108/04),(BZ/2004/02)
Ziffer8,DM,1,2004,(BK1-107/04),(DM/2004/02)
Ziffer8,BZ,1,2004,(BK2-89/04),(BZ/2004/03)
Ziffer13,BZ,1,2004,(BK2-89/04),(BZ/2004/03)
Ziffer4,BildMW,1,2004,(BK2-88/04),(BildMW/2004/01)
Ziffer8,BildMW,1,2004,(BK2-88/04),(BildMW/2004/01)
Ziffer7,NW,1,2004,(BK2-78/04),(NW/2004/01)
Ziffer2,Bild,2,2004,(BK2-76/04),(Bild/2004/03)
Ziffer8,Bild,2,2004,(BK2-76/04),(Bild/2004/03)
Ziffer1,Bild,1,2004,(BK1-70/04),(Bild/2004/04)
Ziffer11,Bild,1,2004,(BK1-70/04),(Bild/2004/04)
Ziffer11,POP,1,2004,(BK2-67/04),(POP/2004/01)
Ziffer8,Bild,1,2004,"(BK1-63,64/04)",(Bild/2004/05)
Ziffer1,Bild,1,2004,(BK1-62/04),(Bild/2004/06)
Ziffer11,Bild,1,2004,(BK1-62/04),(Bild/2004/06)
Ziffer2,LP,1,2004,"(BK2-33,34,35,36,38/04)",(LP/2004/01)
Ziffer8,BK,1,2004,(BK2-27/04),(BK/2004/01)
Ziffer8,Bild,1,2004,(BK2-26/04),(Bild/2004/07)
Ziffer8,HAB,2,2004,(BK2-25/04),(HAB/2004/01)
Ziffer13,HAB,2,2004,(BK2-25/04),(HAB/2004/01)
Ziffer2,DNB,2,2004,(B1-19/04),(DNB/2004/01)
Ziffer8,DNB,2,2004,(B1-19/04),(DNB/2004/01)
Ziffer2,Bild,2,2004,(B1-18/04),(Bild/2004/08)
